deviceId,mon,label,cnt
id_MzQ6QUI6OTU6NzE6OUM6Qzg,07岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUM6Qzg,08岿 22老,caution,75
id_MzQ6QUI6OTU6NzE6OUM6Qzg,09岿 22老,caution,211
id_MzQ6QUI6OTU6NzE6OUM6Qzg,09岿 22老,fall,6
id_MzQ6QUI6OTU6NzE6OUM6RDA,07岿 22老,caution,157
id_MzQ6QUI6OTU6NzE6OUM6RDA,07岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUM6RDA,08岿 22老,caution,133
id_MzQ6QUI6OTU6NzE6OUM6RDA,08岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUM6RDA,09岿 22老,caution,2
id_MzQ6QUI6OTU6NzE6OUM6REM,07岿 22老,caution,1209
id_MzQ6QUI6OTU6NzE6OUM6REM,07岿 22老,fall,9
id_MzQ6QUI6OTU6NzE6OUM6REM,08岿 22老,caution,1618
id_MzQ6QUI6OTU6NzE6OUM6REM,08岿 22老,fall,5
id_MzQ6QUI6OTU6NzE6OUM6REM,09岿 22老,caution,108
id_MzQ6QUI6OTU6NzE6OUM6REM,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUQ6Mjg,07岿 22老,caution,244
id_MzQ6QUI6OTU6NzE6OUQ6Mjg,08岿 22老,caution,683
id_MzQ6QUI6OTU6NzE6OUQ6Mjg,08岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUQ6Mjg,09岿 22老,caution,70
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,07岿 22老,caution,60
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,07岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,08岿 22老,caution,155
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,08岿 22老,fall,4
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,09岿 22老,caution,49
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,09岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OUQ6NEM,07岿 22老,caution,837
id_MzQ6QUI6OTU6NzE6OUQ6NEM,08岿 22老,caution,571
id_MzQ6QUI6OTU6NzE6OUQ6NEM,08岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OUQ6NEM,09岿 22老,caution,244
id_MzQ6QUI6OTU6NzE6OUQ6NEM,09岿 22老,fall,4
id_MzQ6QUI6OTU6NzE6OUU6MEM,07岿 22老,caution,1483
id_MzQ6QUI6OTU6NzE6OUU6MEM,07岿 22老,fall,3
id_MzQ6QUI6OTU6NzE6OUU6MEM,08岿 22老,caution,982
id_MzQ6QUI6OTU6NzE6OUU6MEM,08岿 22老,fall,7
id_MzQ6QUI6OTU6NzE6OUU6MEM,09岿 22老,caution,3398
id_MzQ6QUI6OTU6NzE6OUU6MEM,09岿 22老,fall,16
id_MzQ6QUI6OTU6NzE6OUU6MzQ,07岿 22老,caution,189
id_MzQ6QUI6OTU6NzE6OUU6MzQ,07岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OUU6MzQ,08岿 22老,caution,62
id_MzQ6QUI6OTU6NzE6OUU6MzQ,09岿 22老,caution,191
id_MzQ6QUI6OTU6NzE6OUU6QTg,07岿 22老,caution,86
id_MzQ6QUI6OTU6NzE6OUU6QTg,08岿 22老,caution,42
id_MzQ6QUI6OTU6NzE6OUU6QTg,09岿 22老,caution,180
id_MzQ6QUI6OTU6NzE6OUU6QTg,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUU6RDA,07岿 22老,caution,792
id_MzQ6QUI6OTU6NzE6OUU6RDA,07岿 22老,fall,17
id_MzQ6QUI6OTU6NzE6OUU6RDA,08岿 22老,caution,12
id_MzQ6QUI6OTU6NzE6OUU6RDA,08岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUU6RDA,09岿 22老,caution,86
id_MzQ6QUI6OTU6NzE6OUU6RDA,09岿 22老,fall,3
id_MzQ6QUI6OTU6NzE6OUY6REM,07岿 22老,caution,3097
id_MzQ6QUI6OTU6NzE6OUY6REM,07岿 22老,fall,18
id_MzQ6QUI6OTU6NzE6OUY6REM,08岿 22老,caution,2367
id_MzQ6QUI6OTU6NzE6OUY6REM,08岿 22老,fall,12
id_MzQ6QUI6OTU6NzE6OUY6REM,09岿 22老,caution,2093
id_MzQ6QUI6OTU6NzE6OUY6REM,09岿 22老,fall,9
id_MzQ6QUI6OTU6NzE6QTA6ODg,07岿 22老,caution,251
id_MzQ6QUI6OTU6NzE6QTA6ODg,07岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6QTA6ODg,08岿 22老,caution,148
