"act_key","avg_presence","avg_people_cnt","avg_activity","max_activity","cnt"
"5540072","0","0.0000","0","0","0"
"5540073","0","0.0000","0","0","0"
"5540074","0","0.0000","0","0","0"
"5540075","0","0.0000","0","0","0"
"5540076","0","0.0000","0","0","0"
"5540077","0","0.0000","0","0","0"
"5540078","0","0.0000","0","0","0"
"5540079","0","0.0000","0","0","0"
"5540080","0","0.0000","0","0","0"
"5540081","0","0.0000","0","0","0"
"5540082","0","0.0000","0","0","0"
"5540083","0","0.0000","0","0","0"
"5540084","0","0.0000","0","0","0"
"5540085","0","0.0000","0","0","0"
"5540086","0","0.0000","0","0","0"
"5540087","0","0.0000","0","0","0"
"5540088","1","2.0000","5.56163083","24.8006","13"
"5540089","0","0.0000","0","0","0"
"5540090","1","2.0000","5.92987728","34.4119","22"
"5540091","0","0.0000","0","0","0"
"5540092","0","0.0000","0","0","0"
"5540093","0","0.0000","0","0","0"
"5540094","0","0.0000","0","0","0"
"5540095","0","0.0000","0","0","0"
"5540096","0","0.0000","0","0","0"
"5540097","0","0.0000","0","0","0"
"5540098","0","0.0000","0","0","0"
"5540099","0","0.0000","0","0","0"
"5540100","0","0.0000","0","0","0"
"5540101","0","0.0000","0","0","0"
"5540102","0","0.0000","0","0","0"
"5540103","0","0.0000","0","0","0"
"5540104","0","0.0000","0","0","0"
"5540105","0","0.0000","0","0","0"
"5540106","0","0.0000","0","0","0"
"5540107","0","0.0000","0","0","0"
"5540108","0","0.0000","0","0","0"
"5540109","0","0.0000","0","0","0"
"5540110","0","0.0000","0","0","0"
"5540111","0","0.0000","0","0","0"
"5540112","0","0.0000","0","0","0"
"5540113","0","0.0000","0","0","0"
"5540114","0","0.0000","0","0","0"
"5540115","0","0.0000","0","0","0"
"5540116","0","0.0000","0","0","0"
"5540117","0","0.0000","0","0","0"
"5540118","0","0.0000","0","0","0"
"5540119","0","0.0000","0","0","0"
"5540120","0","0.0000","0","0","0"
"5540121","0","0.0000","0","0","0"
"5540122","0","0.0000","0","0","0"
"5540123","0","0.0000","0","0","0"
"5540124","0","0.0000","0","0","0"
"5540125","0","0.0000","0","0","0"
"5540126","0","0.0000","0","0","0"
"5540127","0","0.0000","0","0","0"
"5540128","0","0.0000","0","0","0"
"5540129","0","0.0000","0","0","0"
"5540130","0","0.0000","0","0","0"
"5540131","0","0.0000","0","0","0"
"5540132","0","0.0000","0","0","0"
"5540133","0","0.0000","0","0","0"
"5540134","0","0.0000","0","0","0"
"5540135","0","0.0000","0","0","0"
"5540136","1","2.0000","1.51086","4.9224","5"
"5540137","0","0.0000","0","0","0"
"5540138","1","2.0000","0.80449999","1.885","5"
"5540139","0","0.0000","0","0","0"
"5540140","0","0.0000","0","0","0"
"5540141","0","0.0000","0","0","0"
"5540142","0","0.0000","0","0","0"
"5540143","0","0.0000","0","0","0"
"5540144","0","0.0000","0","0","0"
"5540145","0","0.0000","0","0","0"
"5540146","0","0.0000","0","0","0"
"5540147","0","0.0000","0","0","0"
"5540148","1","2.0000","1.1745857","3.2331","7"
"5540149","0","0.0000","0","0","0"
"5540150","0","0.0000","0","0","0"
"5540151","0","0.0000","0","0","0"
"5540152","0","0.0000","0","0","0"
"5540153","0","0.0000","0","0","0"
"5540154","0","0.0000","0","0","0"
"5540155","0","0.0000","0","0","0"
"5540156","0","0.0000","0","0","0"
"5540157","0","0.0000","0","0","0"
"5540158","0","0.0000","0","0","0"
"5540159","0","0.0000","0","0","0"
"5540160","0","0.0000","0","0","0"
"5540161","0","0.0000","0","0","0"
"5540162","0","0.0000","0","0","0"
"5540163","0","0.0000","0","0","0"
"5540164","0","0.0000","0","0","0"
"5540165","0","0.0000","0","0","0"
"5540166","0","0.0000","0","0","0"
"5540167","0","0.0000","0","0","0"
"5540168","0","0.0000","0","0","0"
"5540169","0","0.0000","0","0","0"
"5540170","0","0.0000","0","0","0"
"5540171","0","0.0000","0","0","0"
"5540172","0","0.0000","0","0","0"
"5540173","0","0.0000","0","0","0"
"5540174","0","0.0000","0","0","0"
"5540175","0","0.0000","0","0","0"
"5540176","0","0.0000","0","0","0"
"5540177","0","0.0000","0","0","0"
"5540178","0","0.0000","0","0","0"
"5540179","0","0.0000","0","0","0"
"5540180","0","0.0000","0","0","0"
"5540181","0","0.0000","0","0","0"
"5540182","0","0.0000","0","0","0"
"5540183","0","0.0000","0","0","0"
"5540184","0","0.0000","0","0","0"
"5540185","0","0.0000","0","0","0"
"5540186","0","0.0000","0","0","0"
"5540187","0","0.0000","0","0","0"
"5540188","0","0.0000","0","0","0"
"5540189","0","0.0000","0","0","0"
"5540190","0","0.0000","0","0","0"
"5540191","0","0.0000","0","0","0"
"5540192","0","0.0000","0","0","0"
"5540193","0","0.0000","0","0","0"
"5540194","0","0.0000","0","0","0"
"5540195","0","0.0000","0","0","0"
"5540196","0","0.0000","0","0","0"
"5540197","0","0.0000","0","0","0"
"5540198","0","0.0000","0","0","0"
"5540199","0","0.0000","0","0","0"
"5540200","0","0.0000","0","0","0"
"5540201","0","0.0000","0","0","0"
"5540202","0","0.0000","0","0","0"
"5540203","0","0.0000","0","0","0"
"5540204","0","0.0000","0","0","0"
"5540205","0","0.0000","0","0","0"
"5540206","0","0.0000","0","0","0"
"5540207","0","0.0000","0","0","0"
"5540208","0","0.0000","0","0","0"
"5540209","0","0.0000","0","0","0"
"5540210","0","0.0000","0","0","0"
"5540211","0","0.0000","0","0","0"
"5540212","0","0.0000","0","0","0"
"5540213","0","0.0000","0","0","0"
"5540214","0","0.0000","0","0","0"
"5540215","0","0.0000","0","0","0"
"5540216","0","0.0000","0","0","0"
"5540217","0","0.0000","0","0","0"
"5540218","0","0.0000","0","0","0"
"5540219","0","0.0000","0","0","0"
"5540220","0","0.0000","0","0","0"
"5540221","0","0.0000","0","0","0"
"5540222","0","0.0000","0","0","0"
"5540223","0","0.0000","0","0","0"
"5540224","0","0.0000","0","0","0"
"5540225","0","0.0000","0","0","0"
"5540226","0","0.0000","0","0","0"
"5540227","0","0.0000","0","0","0"
"5540228","0","0.0000","0","0","0"
"5540229","0","0.0000","0","0","0"
"5540230","0","0.0000","0","0","0"
"5540231","0","0.0000","0","0","0"
"5540232","0","0.0000","0","0","0"
"5540233","0","0.0000","0","0","0"
"5540234","0","0.0000","0","0","0"
"5540235","1","2.0000","4.61764447","14.1532","18"
"5540236","0","0.0000","0","0","0"
"5540237","0","0.0000","0","0","0"
"5540238","0","0.0000","0","0","0"
"5540239","0","0.0000","0","0","0"
"5540240","0","0.0000","0","0","0"
"5540241","1","2.0000","0.45885001","3.3993","12"
"5540242","0","0.0000","0","0","0"
"5540243","0","0.0000","0","0","0"
"5540244","0","0.0000","0","0","0"
"5540245","0","0.0000","0","0","0"
"5540246","1","1.0000","5.74856011","22.2301","10"
"5540247","0","0.0000","0","0","0"
