act_key,avg_presence,avg_people_cnt,avg_activity,max_activity,cnt,first_eventtime,lastStatus,부재,,,
5540101,0,0,0,0,0,,,부재,,,
5540102,0,0,0,0,0,,,부재,,,
5540103,0,0,0,0,0,,,부재,,,
5540104,0,0,0,0,0,,,부재,,,
5540105,0,0,0,0,0,,,부재,,,
5540106,0,0,0,0,0,,,부재,,,
5540107,0,0,0,0,0,,,부재,,,
5540108,0,0,0,0,0,,,부재,,,
5540109,0,0,0,0,0,,,부재,,,
5540110,0,0,0,0,0,,,부재,,,
5540111,0,0,0,0,0,,,부재,,,
5540112,0,0,0,0,0,,,부재,,,
5540113,0,0,0,0,0,,,부재,,,
5540114,0,0,0,0,0,,,부재,,,
5540115,0,0,0,0,0,,,부재,,,
5540116,0,0,0,0,0,,,부재,,,
5540117,0,0,0,0,0,,,부재,,,
5540118,0,0,0,0,0,,,부재,,,
5540119,0,0,0,0,0,,,부재,,,
5540120,0,0,0,0,0,,,부재,,,
5540121,0,0,0,0,0,,,부재,,,
5540122,0,0,0,0,0,,,부재,,,
5540123,0,0,0,0,0,,,부재,,,
5540124,0,0,0,0,0,,,부재,,,
5540125,0,0,0,0,0,,,부재,,,
5540126,0,0,0,0,0,,,부재,,,
5540127,0,0,0,0,0,,,부재,,,
5540128,0,0,0,0,0,,,부재,,,
5540129,0,0,0,0,0,,,부재,,,
5540130,0,0,0,0,0,,,부재,,,
5540131,0,0,0,0,0,,,부재,,,
5540132,0,0,0,0,0,,,부재,,,
5540133,0,0,0,0,0,,,부재,,,
5540134,0,0,0,0,0,,,부재,,,
5540135,0,0,0,0,0,,,부재,,,
5540136,1,2,1.51086,4.9224,5,,,재실,,,
5540137,0,0,0,0,0,,,부재,,,
5540138,1,2,0.80449999,1.885,5,,,재실,,,
5540139,0,0,0,0,0,,,부재,,,
5540140,0,0,0,0,0,,,부재,,,
5540141,0,0,0,0,0,,,부재,,,
5540142,0,0,0,0,0,,,부재,,,
5540143,0,0,0,0,0,,,부재,,,
5540144,0,0,0,0,0,,,부재,,,
5540145,0,0,0,0,0,,,부재,,,
5540146,0,0,0,0,0,,,부재,,,
5540147,0,0,0,0,0,,,부재,,,
5540148,1,2,1.1745857,3.2331,7,,,재실,,,
